name,category,location,floor,google_maps_search_url,new_google_maps_image_url,notes
% Arabica,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=%25%20Arabica%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/MG7sSxM5KjbyiTxz5,
An Com An Ca,อาหารเวียดนาม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=An%20Com%20An%20Ca%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/B5FeaRc5rdJnFSL26,
Aron Sawad,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Aron%20Sawad%20ICONSIAM%20Bangkok%20Thailand,https://www.facebook.com/apple.oopz.1/posts/%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%87-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%A3%E0%B8%B8%E0%B8%93%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B9%8C-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%95%E0%B8%B8%E0%B9%8B%E0%B8%99%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%95%E0%B8%B8%E0%B9%8B%E0%B8%99%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99g/10229591576639996/,ร้านอรุณสวัสดิ์ Iconsiam โซนสุขสยาม
Bacha Coffee,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Bacha%20Coffee%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/msEmhr4gMQXN513D7,
Bankara Ramen,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Bankara%20Ramen%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/PJwXjT1GrRYF4Km8A,
Beans Coffee Roaster,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Beans%20Coffee%20Roaster%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/hmbnjat3J2YznzKi7,
Boom Yong Kee,อาหารจีน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Boom%20Yong%20Kee%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/NBzYByrQdYoqP1se7,BOON TONG KEE @ICON Siam
Boost Juice,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Boost%20Juice%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/5vsnXUzw4cBd6CHg7,ร้านปิดไปแล้วเอาออกหน่อย
Bread Papa’s,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Bread%20Papa%E2%80%99s%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/8BetkeLoC7vnz82x6,
BreadTalk,เบเกอรี่,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=BreadTalk%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/EipptLovN52FJdG37,
Bubble in the Forest,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Bubble%20in%20the%20Forest%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Chok Dee Dimsum,อาหารจีน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Chok%20Dee%20Dimsum%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
